Name_name,Name_Bio,Name_Image,Name_Rank
Virat Kohli,"The cricket star occupies top spot on the 2019 Forbes India Celebrity list, with a prolific run scoring spree and a glut of endorsements.",https://www.forbesindia.com/media/celeblist2019/small/0011_Virat%20Kohli.jpg,1
Akshay Kumar,The actor beat global A-listers like Rihanna and Bradley Cooper in this year's Forbes US list of World's Highest-Paid Celebrities.,https://www.forbesindia.com/media/celeblist2019/small/002_Akshay%20Kumar.jpg,2
Salman Khan,Salman Khan slipped from the top position on the list to number three. He had only one movie release—Bharat—this year.,https://www.forbesindia.com/media/celeblist2019/small/003_Salman%20Khan.jpg,3
Amitabh Bachchan,"Amitabh Bachchan has moved further up the ranks, making it to the top five with a successful season of Kaun Banega Crorepati.",https://www.forbesindia.com/media/celeblist2019/small/004_Amitabh%20Bachchan.jpg,4
MS Dhoni,MS Dhoni is steady at No 5 because of his brand endorsements.,https://www.forbesindia.com/media/celeblist2019/small/005_Mahendra%20Singh%20Dhoni.jpg,5
Shah Rukh Khan,The superstar climbed to the sixth spot on the back of a strong endorsement pipeline.,https://www.forbesindia.com/media/celeblist2019/small/006_Shahrukh%20Khan.jpg,6
Ranveer Singh,"Ranveer Singh jumps one place on the list to No 7, following the success of Gully Boy and multiple brand endorsements.",https://www.forbesindia.com/media/celeblist2019/small/007_Ranveer%20Singh.jpg,7
Alia Bhatt,"Alia Bhatt has moved up the list from 12 to 8, thanks to her massive social media popularity.",https://www.forbesindia.com/media/celeblist2019/small/008_Alia%20Bhatt.jpg,8
Sachin Tendulkar,The former India captain retains his No 9 spot thanks to the returns on his investments and brand endorsements.,https://www.forbesindia.com/media/celeblist2019/small/009_Sachin%20Tendulkar.jpg,9
Deepika Padukone,"Deepika Padukone, who had no film releases this year, slipped from number 4 to number 10 this year.",https://www.forbesindia.com/media/celeblist2019/small/010_Deepika%20Padukone.jpg,10
Rohit Sharma,Rohit Sharma jumps from No 23 to No 11 following his exploits on the field.,https://www.forbesindia.com/media/celeblist2019/small/011_Rohit%20Sharma.jpg,11
Ajay Devgn,"Devgn ranks a high 12 on the list, with the success of Total Dhamaal and the Punjabi remake of Singham.",https://www.forbesindia.com/media/celeblist2019/small/012_Ajay%20Devgan.jpg,12
Rajinikanth,"The reigning Tamil superstar climbed one spot to number 13, riding on back-to-back hits.",https://www.forbesindia.com/media/celeblist2019/small/013_Rajanikant.jpg,13
Priyanka Chopra Jonas,Priyanka Chopra Jonas's ranking jumped from 49 last year to 14 this year on the back of her strong social media presence.,https://www.forbesindia.com/media/celeblist2019/small/014_Priyanka%20Chorea.jpg,14
Aamir Khan,"Aamir Khan slipped nine spots without a single release in 2019. His last outing, Thugs of Hindostan had flopped at the box office.",https://www.forbesindia.com/media/celeblist2019/small/015_Aamir%20Khan.jpg,15
AR Rahman,Composer and singer AR Rahman—who has been a regular in the top 20—slid five ranks in the 2019 Celebrity 100 list from last year.,https://www.forbesindia.com/media/celeblist2019/small/016_A%20R%20Rehman.jpg,16
Pritam,"Pritam has returned to the list this year at a high rank 17, riding on the success of his music in movies such as Kalank and Chhichhore.",https://www.forbesindia.com/media/celeblist2019/small/017_Pritam.jpg,17
Hrithik Roshan,"Hrithik Roshan's Super 30 made over Rs 200 crore at the box office, taking his ranking up from 41 last year to number 18 this year.",https://www.forbesindia.com/media/celeblist2019/small/018_Hrithi%20Roshan.jpg,18
Amit Trivedi,Amit Trivedi is No 19 on the 2019 Forbes India Celebrity 100 list thanks to his music in Ayushmann Khurrana-starrer Andhadhun.,https://www.forbesindia.com/media/celeblist2019/small/019_Amit%20Trivedi.jpg,19
Vishal-Shekhar,The music composer duo is on No 20 thanks to the hit soundtracks of Student of the Year 2 and Bharat.,https://www.forbesindia.com/media/celeblist2019/small/020_Vishal%20Shekhar.jpg,20
Anushka Sharma,"Anushka Sharma, who had only one film release this year, slipped from number 16 to number 21 on the list this year.",https://www.forbesindia.com/media/celeblist2019/small/021_Anushka%20Sharma.jpg,21
Ajay-Atul,Ajay-Atul's zoom up the ranks is backed by their earnings from live shows and composing music for big-ticket films.,https://www.forbesindia.com/media/celeblist2019/small/022_Ajay%20Atul.jpg,22
Katrina Kaif,"Katrina Kaif slipped from number 21 on the list last year to 23 this year, with earnings down from Rs 33.67 crore to Rs 23.63 crore.",https://www.forbesindia.com/media/celeblist2019/small/023_Katrina%20Kaif.jpg,23
Shankar-Ehsaan-Loy,"The trio has been creating music together for over 23 years now, and make big bucks off their live shows.",https://www.forbesindia.com/media/celeblist2019/small/024_Shankar_Ehsaan-Loy.jpg,24
Varun Dhawan,"While Kalank was a dud at the box office, Dhawan's earnings remain strong with a rich endorsement pipeline.",https://www.forbesindia.com/media/celeblist2019/small/025_Varun%20Dhawan.jpg,25
Arijit Singh,"Current king of playback, Arijit Singh celebrates hit scores of Kabir Singh and Andhadhun, and crowd-pulling concerts across the globe.",https://www.forbesindia.com/media/celeblist2019/small/026_Arijit%20Singh.jpg,26
Mohanlal,"Mohanlal, the highest-paid actor of Malayalam cinema, zooms to No 27 on the 2019 Celebrity 100 list, after dropping out last year.",https://www.forbesindia.com/media/celeblist2019/small/027_Mohanlal1.jpg,27
Shraddha Kapoor,"Shraddha Kapoor scores high on fame and is riding the success of back-to-back hits, Saaho and Chhichhore.",https://www.forbesindia.com/media/celeblist2019/small/028_Shraddha%20Kapoor.jpg,28
Neha Kakkar,"Neha Kakkar's high rank is thanks to her popular live shows, Indian Idol jury gig and high social media fame.",https://www.forbesindia.com/media/celeblist2019/small/029_Neha%20Kakkar.jpg,29
Rishabh Pant,Cricketer Rishabh Pant makes his debut on the list at rank 30 on the back of a busy season and being a constant talking point on social media.,https://www.forbesindia.com/media/celeblist2019/small/030_Rishabh%20Pant.jpg,30
Hardik Pandya,"Hardik Pandya's rank slips from 27 in 2018 to 31 in 2019, after raking up a controversy on Koffee with Karan.",https://www.forbesindia.com/media/celeblist2019/small/031_Hardik%20Pandya.jpg,31
Jacqueline Fernandez,"The Sri Lankan actor didn't have a release this year, but scores on fame and endorsements.",https://www.forbesindia.com/media/celeblist2019/small/032_Jacqueline%20Fernandez.jpg,32
Jasprit Bumrah,"At 26, Bumrah is one of the most lethal fast bowlers today, and finished as India's highest wicket-taker in the 2019 World Cup.",https://www.forbesindia.com/media/celeblist2019/small/033_Jasprit%20Bumrah.jpg,33
KL Rahul,"KL Rahul overshadows controversies off the field with a steady performance on it, climbing 25 spots on the list this year.",https://www.forbesindia.com/media/celeblist2019/small/034_K%20L%20Rahul.jpg,34
Shikhar Dhawan,"With consistent performance in ODIs and in the 2019 IPLT20, Dhawan rose 27 ranks to Number 35 on the 2019 Forbes India Celebrity 100 list.",https://www.forbesindia.com/media/celeblist2019/small/035_Shikhar%20Dhawan.jpg,35
Shahid Kapoor,"Even though Shahid Kapoor's earnings took a dip, his rank in the Celebrity 100 list moved up from 54 in 2018 to 36 this year, riding on fame.",https://www.forbesindia.com/media/celeblist2019/small/036_Shahid%20Kapur.jpg,36
Ayushmann Khurrana,"Ayushmann Khurrana is back on the list at No 37, riding on a spate of successes in the last couple of years.",https://www.forbesindia.com/media/celeblist2019/small/037_Ayushmann%20Khurrana.jpg,37
Kriti Sanon,"Kriti Sanon debuts on the Forbes India Celebrity 100 list at No 38, scoring high on fame.",https://www.forbesindia.com/media/celeblist2019/small/038_Kriti%20Sanon.jpg,38
Diljit Dosanjh,"Multi-hatted Dosanjh has been steadily climbing the Celebrity 100 ranks, cashing in from films, music and television shows.",https://www.forbesindia.com/media/celeblist2019/small/039_Dilijit%20Dosanjh.jpg,39
Tiger Shroff,"Despite a muted response to Student of the Year 2, Shroff had a good year in terms of fame and endorsements.",https://www.forbesindia.com/media/celeblist2019/small/040_Tiger%20Shroff.jpg,40
Parineeti Chopra,Parineeti Chopra moved up the Forbes India Celebrity 100 list from 83 rank in 2017 to 41 in 2019 with her earnings at Rs 12.50 crore.,https://www.forbesindia.com/media/celeblist2019/small/041_Parineeti%20Chopra.jpg,41
Sonam Kapoor Ahuja,"With two releases in 2019 and scoring high on the social media fame, Sonam Kapoor Ahuja has jumped up more than 30 spots in a year.",https://www.forbesindia.com/media/celeblist2019/small/042_Sonam%20Kapoor.jpg,42
Disha Patani,"Disha Patani's social media fame brought her to the 45th position on the Forbes India Celebrity 100 list, with earnings at Rs 5.8 crore.",https://www.forbesindia.com/media/celeblist2019/small/043_Disha%20Patani.jpg,43
Prabhas,"After the phenomenal success of the Baahubali saga, Prabhas's Saaho raked in second-highest opening day collections for an Indian film at Rs 130 crore.",https://www.forbesindia.com/media/celeblist2019/small/044_Prabhas.jpg,44
Ranbir Kapoor,"With no releases and a non-existent social media presence, Kapoor dropped 28 spots on the 2019 Forbes India Celebrity 100 list.",https://www.forbesindia.com/media/celeblist2019/small/045_Ranbir%20Kapoor.jpg,45
John Abraham,"A hit, a moderate success and a flop made 2019 a mixed year for the action hero, who slipped four places on the Celebrity 100 list.",https://www.forbesindia.com/media/celeblist2019/small/046_John%20Abraham.jpg,46
Vijay,"Vijay is undoubtedly Tamil cinema's most bankable actor after Rajinikanth. His Diwali release, Bigil, has already raked in over Rs 300 crore.",https://www.forbesindia.com/media/celeblist2019/small/047_Vijay.jpg,47
Sunny Leone,"Sunny Leone featured only in an item song this year, but scores high on fame and endorsements.",https://www.forbesindia.com/media/celeblist2019/small/048_Sunny%20Leone.jpg,48
Guru Randhawa,The 28-year-old 'High rated Gabru' singer makes his debut on 2019 Forbes India Celebrity 100 list.,https://www.forbesindia.com/media/celeblist2019/small/049_Guru%20Randhawa.jpg,49
Karan Johar,"As a producer, Johar had a rough 2019 at the box office, but his talk show returned for a popular new season.",https://www.forbesindia.com/media/celeblist2019/small/050_Karan%20Johar_KJO_7414.jpg,50
Ravindra Jadeja,"Ravindra Jadeja has climbed to 51 from 68 in 2018, with an increase in his BCCI annual retainer contract during the year.",https://www.forbesindia.com/media/celeblist2019/small/051_Ravindra%20Jadeja.jpg,51
